ownershipEN,locationZH,relevantDistrictCouncilZH,nameZH,ownershipZH,locationEN,nameEN,relevantDistrictCouncilEN,items
N.A.,薄扶林道89號 / 卑路乍街8號,中西區,寶翠園,N.A.,89 Pok Fu Lam Road / 8 Belcher's Street,The Belcher's,CENTRAL & WESTERN,
Multiple Ownership,新街市街8號,中西區,康威花園,共有業權,8 New Market Street,Hongway Garden,CENTRAL & WESTERN,
Multiple Ownership,堅尼地城新海傍,中西區,泓都,共有業權,"New Praya, Kennedy Town",The Merton,CENTRAL & WESTERN,
Multiple Ownership,樂古道3號,中西區,麗雅苑,共有業權,3 Lok Ku Road,Lascar Court,CENTRAL & WESTERN,
Multiple Ownership,德輔道中257號,中西區,錦甡大廈,共有業權,257 Des Voeux Road Central,Kam Sang Building,CENTRAL & WESTERN,
Single Ownership,淺水灣道81號,南區,淺水灣道81號,單一業權,81 Repulse Bay Road,81 Repulse Bay Road,SOUTHERN,
Multiple Ownership,香島道40號,南區,香島道40號,共有業權,40 Island Road,Island Grove,SOUTHERN,
Multiple Ownership,淺水灣道117號,南區,淺水灣道117號,共有業權,117 Repulse Bay Road,Grosvenor Place,SOUTHERN,
Multiple Ownership,深水灣道51 - 55號,南區,深水灣道51-55號,共有業權,51 - 55 Deep Water Bay Road,51 - 55 Deep Water Bay Road,SOUTHERN,
Multiple Ownership,香島道45及47號,南區,香島道45及47號,共有業權,45 & 47 Island Road,45 & 47 Island Road,SOUTHERN,
Single Ownership,淺水灣道79號,南區,淺水灣道79號,單一業權,79 Repulse Bay Road,79 Repulse Bay Road,SOUTHERN,
Multiple Ownership,深灣道3號,南區,南濤閣,共有業權,3 Shum Wan Road,South Wave Court,SOUTHERN,
Multiple Ownership,業興街11號,南區,南滙廣場,共有業權,11 Yip Hing Street,Southmark,SOUTHERN,
Multiple Ownership,香港仔大道201號,南區,珍寶大廈,共有業權,"201 Aberdeen Main Road, Hong Kong",Jumbo Building,SOUTHERN,
Multiple Ownership,香港仔海傍道,南區,逸港居,共有業權,Aberdeen Praya Road,Ocean Court,SOUTHERN,
Multiple Ownership,深灣道11號,南區,雅濤閣,共有業權,11 Shum Wan Road,Broadview Court,SOUTHERN,
Multiple Ownership,薄扶林鋼線灣,南區,數碼港發展,共有業權,"Telegraph Bay, Pokfulam",Cyberport Development,SOUTHERN,
Multiple Ownership,早禾坑,西貢,西貢早禾坑丈量約份第252約地段第243號,共有業權,Tso Wo Hang,"DD 252 Lot No. 243,Tso Wo Hang, Sai Kung",SAI KUNG,
Single Ownership,大潭道9號,南區,君誠閣,單一業權,9 Tai Tam Road,Majestic Court,SOUTHERN,
Multiple Ownership,南灣道59號,南區,南灣大廈,共有業權,59 South Bay Road,South Bay Towers,SOUTHERN,
Multiple Ownership,赤柱灘道8A號,南區,赤柱灘道8A號,共有業權,8A Stanley Beach Road,8A Stanley Beach Road,SOUTHERN,
